날짜,종가,오픈,고가,저가,거래량,변동 %
2017년 02월 26일,14.21,13.91,14.43,13.79,58.79M,1.65%
2017년 02월 19일,13.98,13.94,14.12,13.7,55.80M,1.01%
2017년 02월 12일,13.84,13.22,13.85,13.2,73.69M,5.73%
2017년 02월 05일,13.09,12.52,13.15,12.49,56.18M,4.05%
2017년 01월 29일,12.58,12.49,12.62,12.05,78.31M,-0.40%
2017년 01월 22일,12.63,11.85,12.67,11.69,61.80M,6.22%
2017년 01월 15일,11.89,11.77,12.06,11.66,55.36M,0.17%
2017년 01월 08일,11.87,11.55,11.93,11.42,91.44M,3.04%
2017년 01월 01일,11.52,10.8,11.61,10.7,80.33M,8.68%
2016년 12월 25일,10.6,11.13,11.43,10.5,89.52M,-4.25%
2016년 12월 18일,11.07,10.95,11.24,10.9,73.11M,1.47%
2016년 12월 11일,10.91,10.64,11.23,10.52,156.98M,1.11%
2016년 12월 04일,10.79,9.96,10.81,9.83,130.94M,9.99%
2016년 11월 27일,9.81,10.59,10.83,9.69,146.68M,-7.80%
2016년 11월 20일,10.64,10.33,10.75,10.32,68.10M,3.70%
2016년 11월 13일,10.26,9.89,10.46,9.43,127.01M,3.95%
2016년 11월 06일,9.87,9.82,10.56,9.46,189.09M,5.45%
2016년 10월 30일,9.36,10.38,10.38,9.31,103.13M,-8.95%
2016년 10월 23일,10.28,10.75,10.95,10.17,117.42M,-2.47%
2016년 10월 16일,10.54,10.27,10.62,10.17,77.12M,2.53%
2016년 10월 09일,10.28,10.81,10.93,9.97,114.46M,-3.47%
2016년 10월 02일,10.65,10.68,10.85,10.5,106.98M,-0.65%
2016년 09월 25일,10.72,10.46,10.82,10.32,108.82M,0.75%
2016년 09월 18일,10.64,10.45,10.88,10.18,114.30M,2.60%
2016년 09월 11일,10.37,9.4,10.43,9.38,145.35M,8.70%
2016년 09월 04일,9.54,10.35,10.56,9.54,88.76M,-7.29%
2016년 08월 28일,10.29,10.22,10.42,9.98,90.97M,0.68%
2016년 08월 21일,10.22,10.3,10.54,10.03,93.21M,-1.26%
2016년 08월 14일,10.35,10.37,10.54,10.13,85.01M,0.10%
2016년 08월 07일,10.34,10.25,10.38,10.1,95.09M,1.08%
2016년 07월 31일,10.23,9.86,10.3,9.57,139.82M,4.07%
2016년 07월 24일,9.83,9.42,9.91,9.33,133.23M,4.13%
2016년 07월 17일,9.44,9.02,9.47,9.01,113.22M,5.01%
2016년 07월 10일,8.99,8.74,9.12,8.73,145.04M,4.05%
2016년 07월 03일,8.64,8.03,8.66,7.81,145.17M,6.14%
2016년 06월 26일,8.14,7.19,8.23,6.82,235.67M,10.60%
2016년 06월 19일,7.36,8.16,8.39,7.3,195.75M,-6.48%
2016년 06월 12일,7.87,8.24,8.37,7.82,174.64M,-6.09%
2016년 06월 05일,8.38,8.68,8.8,8.29,126.71M,-3.01%
2016년 05월 29일,8.64,8.7,8.77,8.47,118.42M,-0.23%
2016년 05월 22일,8.66,7.86,8.66,7.79,145.28M,10.46%
2016년 05월 15일,7.84,7.66,8.01,7.42,230.48M,2.75%
2016년 05월 08일,7.63,7.67,8.09,7.56,175.70M,-0.39%
2016년 05월 01일,7.66,7.77,7.96,7.41,179.99M,-0.78%
2016년 04월 24일,7.72,8.36,8.55,7.52,185.33M,-8.64%
2016년 04월 17일,8.45,8.78,9.08,8.25,175.65M,-4.52%
2016년 04월 10일,8.85,8.59,9.02,8.24,169.00M,4.36%
2016년 04월 03일,8.48,8.8,8.89,8.39,221.01M,-3.85%
2016년 03월 27일,8.82,8.18,8.83,7.99,200.15M,8.89%
2016년 03월 20일,8.1,8.09,8.36,7.94,136.18M,-0.37%
2016년 03월 13일,8.13,7.78,8.2,7.75,200.45M,3.44%
2016년 03월 06일,7.86,7.59,7.87,7.19,280.79M,1.95%
2016년 02월 28일,7.71,7.23,7.86,7.05,294.88M,6.34%
2016년 02월 21일,7.25,7.08,7.45,6.5,343.71M,5.07%
2016년 02월 14일,6.9,6.48,7.14,6.36,290.34M,11.29%
2016년 02월 07일,6.2,5.89,6.33,5.61,535.87M,-0.64%
2016년 01월 31일,6.24,7.38,7.64,6.16,417.56M,-16.91%
2016년 01월 24일,7.51,7.39,7.51,6.68,362.93M,0.67%
2016년 01월 17일,7.46,7.14,7.47,6.13,359.73M,8.59%
2016년 01월 10일,6.87,7.77,8.09,6.58,498.81M,-9.84%
2016년 01월 03일,7.62,8.88,9.08,7.58,328.54M,-19.96%
2015년 12월 27일,9.52,9.64,10.22,9.43,128.37M,-1.86%
2015년 12월 20일,9.7,9.29,9.79,9.08,105.13M,7.06%
2015년 12월 13일,9.06,9.25,10.15,8.86,253.72M,-1.63%
2015년 12월 06일,9.21,10.39,10.41,9.19,262.15M,-11.10%
2015년 11월 29일,10.36,10.27,10.56,9.51,182.90M,1.87%
2015년 11월 22일,10.17,10.23,10.35,9.79,82.15M,-0.49%
2015년 11월 15일,10.22,9.02,10.25,8.96,202.30M,12.93%
2015년 11월 08일,9.05,10.24,10.28,9.04,171.62M,-12.64%
2015년 11월 01일,10.36,10.04,10.54,9.99,164.64M,3.91%
2015년 10월 25일,9.97,9.81,10.17,9.7,163.30M,1.53%
2015년 10월 18일,9.82,8.65,9.94,8.54,237.30M,13.00%
2015년 10월 11일,8.69,8.38,8.71,8.08,224.01M,4.57%
2015년 10월 04일,8.31,7.93,8.37,7.79,289.62M,7.23%
2015년 09월 27일,7.75,7.46,7.76,6.66,399.09M,2.38%
2015년 09월 20일,7.57,8.25,8.4,7.42,321.38M,-6.89%
2015년 09월 13일,8.13,8.21,8.86,7.96,246.11M,0.12%
2015년 09월 06일,8.12,7.81,8.3,7.68,235.88M,9.88%
2015년 08월 30일,7.39,8.08,8.21,7.07,300.97M,-9.99%
2015년 08월 23일,8.21,6.25,8.3,5.44,416.86M,7.18%
2015년 08월 16일,7.66,9.56,9.88,7.66,287.55M,-20.54%
2015년 08월 09일,9.64,9.78,9.99,9.04,204.52M,0.42%
2015년 08월 02일,9.6,10.05,10.31,9.36,187.99M,-4.48%
2015년 07월 26일,10.05,9.65,10.19,9.48,161.01M,2.24%
2015년 07월 19일,9.83,10.59,10.73,9.78,123.74M,-6.38%
2015년 07월 12일,10.5,9.2,10.5,9.19,152.30M,17.06%
2015년 07월 05일,8.97,8.89,9.15,8.53,203.88M,-1.21%
2015년 06월 28일,9.08,9.1,9.27,8.75,174.42M,-3.71%
2015년 06월 21일,9.43,9.8,9.91,9.31,137.16M,-1.46%
2015년 06월 14일,9.57,9.03,9.78,8.87,179.45M,3.68%
2015년 06월 07일,9.23,9.38,9.6,8.86,172.54M,-1.81%
2015년 05월 31일,9.4,9.75,9.79,9.22,177.50M,-2.08%
2015년 05월 24일,9.6,9.65,9.86,9.27,117.86M,-1.23%
2015년 05월 17일,9.72,9.44,9.82,9.42,123.12M,2.42%
2015년 05월 10일,9.49,9.29,9.6,8.79,196.30M,2.48%
2015년 05월 03일,9.26,9.47,9.6,8.6,243.26M,-1.38%
2015년 04월 26일,9.39,9.9,9.95,8.88,256.26M,-3.99%
2015년 04월 19일,9.78,8.78,9.83,8.77,166.23M,13.06%
2015년 04월 12일,8.65,9.12,9.25,8.53,164.21M,-4.84%
2015년 04월 05일,9.09,8.3,9.09,8.26,164.77M,7.57%
